"","MS1","MS2","MS3","MS4","MS5","MS6","MS7","MS8","MS9","MS10","MS11","MS12","MS13","Gender","Age","Major","School","Year","Courses_enrolled","Courses_shopped","Courses_considered","Limit","Time1","Time2","Info1","Happy1","External1","External2","Happy2","Certain","Shop","PHappy","Info2","MTS1","MTS2","MTS3","MTS4","MTS5","MTS6","MTS7","MTS8","MTS9","Happy","Time","ID"
"29",5,5,3,4,5,1,3,4,2,2,5,2,4,"Female",21,"Psychology","CC","Junior",6,6,7,5,4,4,2,6,2,3,3,4,5,3,3,5,5,4,4,5,3,3,5,3,4.5,4,29
"30",5,5,5,4,6,2,2,6,6,6,6,2,5,"Male",26,"Psychology","GS","Junior",3,3,5,7,7,2,2,7,3,2,5,3,3,4,1,6,5,6,5,2,2,3,5,2,6,6.5,30
"31",2,5,4,2,3,5,5,2,5,2,6,6,6,"Male",21,"Psychology","CC","Junior",5,6,8,3,5,3,6,6,6,4,5,5,3,4,6,6,6,6,6,5,5,5,4,6,5.5,5,31
"32",1,5,2,2,2,5,4,2,4,2,6,6,6,"Female",25,"Psychology ","School of Professional Studies","Post-Bac",1,1,1,7,6,1,4,5,6,7,5,5,7,1,5,4,3,3,6,3,3,5,6,4,5,6.5,32
"33",2,2,3,3,2,3,7,5,6,2,6,2,6,"Female",23,"Psychology & Statistics","GS","Senior",5,5,10,7,7,2,1,4,7,3,3,1,7,5,1,7,4,4,4,4,2,5,5,1,3.5,6.5,33
"34",4,6,3,3,6,4,5,6,4,5,6,6,5,"Female",24,"Psychology ","GS","Junior",3,5,7,4,6,3,5,6,7,5,5,5,5,7,6,6,7,5,6,6,6,7,6,6,5.5,5.5,34
"35",2,2,2,3,2,3,3,3,2,1,6,6,5,"Female",21,"Psychology","CC","Senior",4,4,4,5,3,4,1,2,6,2,3,2,6,2,2,6,6,6,6,5,5,5,5,5,2.5,3.5,35
"36",6,4,2,6,6,2,2,2,2,1,5,5,6,"Male",28,"psychology","GS","Junior",2,3,3,6,5,2,6,6,5,6,6,6,3,2,5,6,6,6,6,6,5,6,6,6,6,5.5,36
"37",1,7,4,7,5,2,4,7,2,4,6,4,7,"Female",19,"Psychology","CC","Sophmore",6,6,9,7,5,3,3,1,2,1,4,3,7,5,6,7,6,6,6,6,5,7,7,5,2.5,5,37
"38",1,7,4,7,5,2,4,7,2,4,6,4,7,"Female",19,"Psychology","CC","Sophmore",6,6,9,7,5,3,3,1,2,1,4,3,7,5,6,7,6,6,6,6,5,7,7,5,2.5,5,38
"39",3,2,3,5,5,4,6,7,2,2,6,2,7,"Male",20,"Psychology and Creative Writing (Double Major)","CC","Sophmore",5,5,6,6,5,2,6,6,3,5,6,6,2,5,4,6,5,4,6,5,2,6,7,4,6,5.5,39
"40",6,6,6,5,6,3,4,2,3,6,5,5,5,"Male",21,"Psychology & Financial Economics","GS","Sophmore",5,12,20,1,7,2,1,3,2,1,3,3,1,5,1,5,6,7,5,5,5,6,6,6,3,6.5,40
"41",1,3,1,5,2,4,1,3,1,5,7,6,6,"Female",23,"Undecided","GS","Junior",4,4,4,4,7,1,5,7,4,3,6,7,1,6,4,7,7,4,6,3,7,7,3,5,6.5,7,41
"42",4,3,4,5,2,5,5,6,3,4,4,3,4,"Female",22,"Undeclared ","GS","First-Year",4,6,5,1,5,3,4,5,3,4,5,5,5,5,4,4,4,4,4,4,3,4,3,3,5,5,42
"43",6,5,6,5,6,6,7,5,6,6,6,4,6,"Male",21,"English Literature and Language","School of Professional Studies","Junior",3,4,6,2,6,3,5,7,5,5,6,6,6,4,6,6,5,5,6,6,4,5,5,2,6.5,5.5,43
